username,tweet,date,time
Randy Leary,Randy Leary @Randylearyooo · 3s Token: $CHZ/USDT  Long or short: Long  TP1: 0.041175 TP2: 0.045067 SL: 0.040220  Current price: 0.040970   #bitcoin  #crypto #btc #eth #altcoin #trading #signal #memecoin #forex #xau #investing #gold #blockchain #CHZ 1,2025-08-08,08:24:33
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 5s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .9yf,2025-08-08,08:24:31
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 9s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .9yf9796,2025-08-08,08:24:27
SHS Tigers//CRYPTO-RECOVERY,"SHS Tigers//CRYPTO-RECOVERY @SHSTigersFB · 9s  #Swaper, #tradecage, #Virodex, #Noxsa, #extobit, #icedswap, #worex, #exmaxi — all confirmed scams. If they’re blocking your crypto, message me immediately. #CryptoScam #CryptoAlert #Solana #Paobc #BTC",2025-08-08,08:24:27
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 12s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC . 6d86f,2025-08-08,08:24:24
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 15s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .5d,2025-08-08,08:24:21
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 18s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .0uc97,2025-08-08,08:24:18
Margarida Barbosa,Margarida Barbosa @margaridaB_9 · 25s #SKATEUSDT Still at good entry  Join us   https://t.me/+Y5cTKFKN9Xg3NGQ0… https://t.me/+Y5cTKFKN9Xg3NGQ0…  #BYBIT  #ETHUSDT   #BTCUSDT  $BTC #BTC   #BINANCE                 #MYXUSDT #PROVEUSDT  #ESPORTSUSDT  #OGUSDT #BDXNUSDT,2025-08-08,08:24:12
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 29s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .itx7t5v9 1,2025-08-08,08:24:08
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 17s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC . 6d86f,2025-08-08,08:24:24
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 20s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .5d,2025-08-08,08:24:21
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 23s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .0uc97,2025-08-08,08:24:18
Margarida Barbosa,Margarida Barbosa @margaridaB_9 · 29s #SKATEUSDT Still at good entry  Join us   https://t.me/+Y5cTKFKN9Xg3NGQ0… https://t.me/+Y5cTKFKN9Xg3NGQ0…  #BYBIT  #ETHUSDT   #BTCUSDT  $BTC #BTC   #BINANCE                 #MYXUSDT #PROVEUSDT  #ESPORTSUSDT  #OGUSDT #BDXNUSDT,2025-08-08,08:24:12
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 33s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .itx7t5v9 1,2025-08-08,08:24:08
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 35s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .8yc86ouc886,2025-08-08,08:24:06
Randy Leary,Randy Leary @Randylearyooo · 37s Token: $ARKM/USDT  Long or short: Long  TP1: 0.512851 TP2: 0.561330 SL: 0.499000  Current price: 0.510300   #bitcoin  #crypto #btc #eth #altcoin #trading #signal #memecoin #forex #xau #investing #gold #blockchain #ARKM 1 1 2,2025-08-08,08:24:04
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 37s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .96d8tou 1,2025-08-08,08:24:04
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 40s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .97f9ucou 1,2025-08-08,08:24:01
